No. of Element in Array,Ternary Search Time (1*10^-6s),Binary Search Time (1*10^-6s)
5000,0.6,0.35
10000,0.59,0.37
15000,0.7,0.41
20000,0.69,0.45
25000,0.71,0.4
30000,0.58,0.41
35000,0.61,0.43
40000,0.87,0.47
45000,0.79,0.46
50000,0.6,0.44
55000,0.55,0.45
60000,0.81,0.46
65000,0.71,0.51
70000,0.65,0.47
75000,0.78,0.58
80000,0.75,0.51
85000,0.86,0.52
90000,0.57,0.48
95000,0.66,0.52
100000,0.63,0.74
105000,0.88,0.71
110000,0.57,0.79
115000,1.13,0.83
120000,0.78,0.78
125000,0.76,0.92
130000,0.8,0.73
135000,0.88,0.84
140000,0.73,0.71
145000,0.8,1.24
150000,0.95,0.84
155000,0.6,0.84
160000,1.01,0.81
165000,0.98,1.18
170000,1.01,0.93
175000,1.26,0.94
180000,1.05,0.9
185000,0.81,1.25
190000,0.92,0.86
195000,0.87,0.95
200000,0.96,0.92
205000,0.96,1.03
210000,1.97,0.85
215000,1.61,0.96
220000,1.79,0.93
225000,1.74,1.02
230000,1.27,1.06
235000,1.2,1.06
240000,1.7,1.03
245000,1.68,1.42
250000,1.64,1.1
255000,1.17,1.15
260000,0.83,1.17
265000,0.79,1.18
270000,0.82,1.25
275000,0.76,0.92
280000,0.68,1.14
285000,0.8,0.92
290000,0.88,1.34
295000,0.74,1.59
300000,0.85,1.12
305000,0.88,0.99
310000,0.84,1.1
315000,0.77,1.33
320000,1.28,1.28
325000,0.83,1.03
330000,0.99,1.22
335000,0.95,1.09
340000,1.7,1.01
345000,1.11,1.4
350000,1.58,1.11
355000,1.09,1.05
360000,1.52,1.04
365000,1.05,1.09
370000,1.19,1.28
375000,1.46,1.14
380000,1.35,1.67
385000,1.3,1.41
390000,1.34,1.49
395000,0.84,1.2
400000,0.94,1.26
